,movie,comment,rank
0,언포기버블,영화의  단조로운 스토리를  긴장감있,10
1,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
2,롱 리브 더 킹: 목포 영웅,,10
3,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
4,아수라,찢었다...모든게 찢었다.,10
5,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,10
6,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,8
7,비바리움,내가 50년간 봤던 영화중 최악이,9
8,어메이징 스파이더맨,샘스파보다 발전한 볼,9
9,인질,진짜 할거없으신뷴들은 보세요. ^^ 시간이 넘 아까운...,10
10,언포기버블,영화의  단조로운 스토리를  긴장감있,10
11,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
12,롱 리브 더 킹: 목포 영웅,,10
13,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
14,아수라,찢었다...모든게 찢었다.,10
15,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,10
16,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,8
17,비바리움,내가 50년간 봤던 영화중 최악이,9
18,어메이징 스파이더맨,샘스파보다 발전한 볼,9
19,인질,진짜 할거없으신뷴들은 보세요. ^^ 시간이 넘 아까운...,10
20,언포기버블,영화의  단조로운 스토리를  긴장감있,10
21,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
22,롱 리브 더 킹: 목포 영웅,,10
23,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
24,아수라,찢었다...모든게 찢었다.,10
25,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,10
26,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,8
27,비바리움,내가 50년간 봤던 영화중 최악이,9
28,어메이징 스파이더맨,샘스파보다 발전한 볼,9
29,인질,진짜 할거없으신뷴들은 보세요. ^^ 시간이 넘 아까운...,10
30,언포기버블,영화의  단조로운 스토리를  긴장감있,10
31,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
32,롱 리브 더 킹: 목포 영웅,,10
33,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
34,아수라,찢었다...모든게 찢었다.,10
35,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,10
36,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,8
37,비바리움,내가 50년간 봤던 영화중 최악이,9
38,어메이징 스파이더맨,샘스파보다 발전한 볼,9
39,인질,진짜 할거없으신뷴들은 보세요. ^^ 시간이 넘 아까운...,10
40,언포기버블,영화의  단조로운 스토리를  긴장감있,10
41,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
42,롱 리브 더 킹: 목포 영웅,,10
43,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
44,아수라,찢었다...모든게 찢었다.,10
45,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,10
46,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,8
47,비바리움,내가 50년간 봤던 영화중 최악이,9
48,어메이징 스파이더맨,샘스파보다 발전한 볼,9
49,인질,진짜 할거없으신뷴들은 보세요. ^^ 시간이 넘 아까운...,10
50,언포기버블,영화의  단조로운 스토리를  긴장감있,10
51,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
52,롱 리브 더 킹: 목포 영웅,,10
53,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
54,아수라,찢었다...모든게 찢었다.,10
55,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,10
56,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,8
57,비바리움,내가 50년간 봤던 영화중 최악이,9
58,어메이징 스파이더맨,샘스파보다 발전한 볼,9
59,인질,진짜 할거없으신뷴들은 보세요. ^^ 시간이 넘 아까운...,10
60,언포기버블,영화의  단조로운 스토리를  긴장감있,10
61,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
62,롱 리브 더 킹: 목포 영웅,,10
63,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
64,아수라,찢었다...모든게 찢었다.,10
65,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,10
66,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,8
67,비바리움,내가 50년간 봤던 영화중 최악이,9
68,어메이징 스파이더맨,샘스파보다 발전한 볼,9
69,인질,진짜 할거없으신뷴들은 보세요. ^^ 시간이 넘 아까운...,10
70,언포기버블,영화의  단조로운 스토리를  긴장감있,10
71,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
72,롱 리브 더 킹: 목포 영웅,,10
73,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
74,아수라,찢었다...모든게 찢었다.,10
75,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,10
76,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,8
77,비바리움,내가 50년간 봤던 영화중 최악이,9
78,어메이징 스파이더맨,샘스파보다 발전한 볼,9
79,인질,진짜 할거없으신뷴들은 보세요. ^^ 시간이 넘 아까운...,10
80,언포기버블,영화의  단조로운 스토리를  긴장감있,10
81,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
82,롱 리브 더 킹: 목포 영웅,,10
83,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
84,아수라,찢었다...모든게 찢었다.,10
85,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,10
86,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,8
87,비바리움,내가 50년간 봤던 영화중 최악이,9
88,어메이징 스파이더맨,샘스파보다 발전한 볼,9
89,인질,진짜 할거없으신뷴들은 보세요. ^^ 시간이 넘 아까운...,10
90,언포기버블,영화의  단조로운 스토리를  긴장감있,10
91,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
92,롱 리브 더 킹: 목포 영웅,,10
93,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
94,아수라,찢었다...모든게 찢었다.,10
95,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,10
96,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,8
97,비바리움,내가 50년간 봤던 영화중 최악이,9
98,어메이징 스파이더맨,샘스파보다 발전한 볼,9
99,인질,진짜 할거없으신뷴들은 보세요. ^^ 시간이 넘 아까운...,10
100,언포기버블,영화의  단조로운 스토리를  긴장감있,10
101,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
102,롱 리브 더 킹: 목포 영웅,,10
103,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
104,아수라,찢었다...모든게 찢었다.,10
105,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,10
106,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,8
107,비바리움,내가 50년간 봤던 영화중 최악이,9
108,어메이징 스파이더맨,샘스파보다 발전한 볼,9
109,인질,진짜 할거없으신뷴들은 보세요. ^^ 시간이 넘 아까운...,10
110,언포기버블,영화의  단조로운 스토리를  긴장감있,10
111,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
112,롱 리브 더 킹: 목포 영웅,,10
113,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
114,아수라,찢었다...모든게 찢었다.,10
115,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,10
116,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,8
117,비바리움,내가 50년간 봤던 영화중 최악이,9
118,어메이징 스파이더맨,샘스파보다 발전한 볼,9
119,인질,진짜 할거없으신뷴들은 보세요. ^^ 시간이 넘 아까운...,10
120,언포기버블,영화의  단조로운 스토리를  긴장감있,10
121,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
122,롱 리브 더 킹: 목포 영웅,,10
123,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
124,아수라,찢었다...모든게 찢었다.,10
125,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,10
126,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,8
127,비바리움,내가 50년간 봤던 영화중 최악이,9
128,어메이징 스파이더맨,샘스파보다 발전한 볼,9
129,인질,진짜 할거없으신뷴들은 보세요. ^^ 시간이 넘 아까운...,10
130,언포기버블,영화의  단조로운 스토리를  긴장감있,10
131,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
132,롱 리브 더 킹: 목포 영웅,,10
133,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
134,아수라,찢었다...모든게 찢었다.,10
135,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,10
136,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,8
137,비바리움,내가 50년간 봤던 영화중 최악이,9
138,어메이징 스파이더맨,샘스파보다 발전한 볼,9
139,인질,진짜 할거없으신뷴들은 보세요. ^^ 시간이 넘 아까운...,10
140,언포기버블,영화의  단조로운 스토리를  긴장감있,10
141,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,6
142,롱 리브 더 킹: 목포 영웅,,10
143,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
144,아수라,찢었다...모든게 찢었다.,10
145,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,10
146,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,8
147,비바리움,내가 50년간 봤던 영화중 최악이,9
148,어메이징 스파이더맨,샘스파보다 발전한 볼,9
149,인질,진짜 할거없으신뷴들은 보세요. ^^ 시간이 넘 아까운...,10
150,미드소마,문화 차이. 미리 말을 하던,10
151,언포기버블,영화의  단조로운 스토리를  긴장감있,6
152,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
153,롱 리브 더 킹: 목포 영웅,,10
154,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
155,아수라,찢었다...모든게 찢었다.,10
156,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
157,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
158,비바리움,내가 50년간 봤던 영화중 최악이,9
159,어메이징 스파이더맨,샘스파보다 발전한 볼,10
160,미드소마,문화 차이. 미리 말을 하던,10
161,언포기버블,영화의  단조로운 스토리를  긴장감있,6
162,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
163,롱 리브 더 킹: 목포 영웅,,10
