,movie,comment,rank
164,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
165,아수라,찢었다...모든게 찢었다.,10
166,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
167,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
168,비바리움,내가 50년간 봤던 영화중 최악이,9
169,어메이징 스파이더맨,샘스파보다 발전한 볼,10
170,미드소마,문화 차이. 미리 말을 하던,10
171,언포기버블,영화의  단조로운 스토리를  긴장감있,6
172,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
173,롱 리브 더 킹: 목포 영웅,,10
174,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
175,아수라,찢었다...모든게 찢었다.,10
176,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
177,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
178,비바리움,내가 50년간 봤던 영화중 최악이,9
179,어메이징 스파이더맨,샘스파보다 발전한 볼,10
180,미드소마,문화 차이. 미리 말을 하던,10
181,언포기버블,영화의  단조로운 스토리를  긴장감있,6
182,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
183,롱 리브 더 킹: 목포 영웅,,10
184,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
185,아수라,찢었다...모든게 찢었다.,10
186,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
187,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
188,비바리움,내가 50년간 봤던 영화중 최악이,9
189,어메이징 스파이더맨,샘스파보다 발전한 볼,10
190,미드소마,문화 차이. 미리 말을 하던,10
191,언포기버블,영화의  단조로운 스토리를  긴장감있,6
192,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
193,롱 리브 더 킹: 목포 영웅,,10
194,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
195,아수라,찢었다...모든게 찢었다.,10
196,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
197,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
198,비바리움,내가 50년간 봤던 영화중 최악이,9
199,어메이징 스파이더맨,샘스파보다 발전한 볼,10
200,미드소마,문화 차이. 미리 말을 하던,10
201,언포기버블,영화의  단조로운 스토리를  긴장감있,6
202,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
203,롱 리브 더 킹: 목포 영웅,,10
204,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
205,아수라,찢었다...모든게 찢었다.,10
206,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
207,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
208,비바리움,내가 50년간 봤던 영화중 최악이,9
209,어메이징 스파이더맨,샘스파보다 발전한 볼,10
210,미드소마,문화 차이. 미리 말을 하던,10
211,언포기버블,영화의  단조로운 스토리를  긴장감있,6
212,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
213,롱 리브 더 킹: 목포 영웅,,10
214,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
215,아수라,찢었다...모든게 찢었다.,10
216,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
217,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
218,비바리움,내가 50년간 봤던 영화중 최악이,9
219,어메이징 스파이더맨,샘스파보다 발전한 볼,10
220,미드소마,문화 차이. 미리 말을 하던,10
221,언포기버블,영화의  단조로운 스토리를  긴장감있,6
222,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
223,롱 리브 더 킹: 목포 영웅,,10
224,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
225,아수라,찢었다...모든게 찢었다.,10
226,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
227,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
228,비바리움,내가 50년간 봤던 영화중 최악이,9
229,어메이징 스파이더맨,샘스파보다 발전한 볼,10
230,미드소마,문화 차이. 미리 말을 하던,10
231,언포기버블,영화의  단조로운 스토리를  긴장감있,6
232,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
233,롱 리브 더 킹: 목포 영웅,,10
234,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
235,아수라,찢었다...모든게 찢었다.,10
236,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
237,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
238,비바리움,내가 50년간 봤던 영화중 최악이,9
239,어메이징 스파이더맨,샘스파보다 발전한 볼,10
240,미드소마,문화 차이. 미리 말을 하던,10
241,언포기버블,영화의  단조로운 스토리를  긴장감있,6
242,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
243,롱 리브 더 킹: 목포 영웅,,10
244,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
245,아수라,찢었다...모든게 찢었다.,10
246,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
247,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
248,비바리움,내가 50년간 봤던 영화중 최악이,9
249,어메이징 스파이더맨,샘스파보다 발전한 볼,10
250,미드소마,문화 차이. 미리 말을 하던,10
251,언포기버블,영화의  단조로운 스토리를  긴장감있,6
252,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
253,롱 리브 더 킹: 목포 영웅,,10
254,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
255,아수라,찢었다...모든게 찢었다.,10
256,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
257,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
258,비바리움,내가 50년간 봤던 영화중 최악이,9
259,어메이징 스파이더맨,샘스파보다 발전한 볼,10
260,미드소마,문화 차이. 미리 말을 하던,10
261,언포기버블,영화의  단조로운 스토리를  긴장감있,6
262,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
263,롱 리브 더 킹: 목포 영웅,,10
264,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
265,아수라,찢었다...모든게 찢었다.,10
266,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
267,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
268,비바리움,내가 50년간 봤던 영화중 최악이,9
269,어메이징 스파이더맨,샘스파보다 발전한 볼,10
270,미드소마,문화 차이. 미리 말을 하던,10
271,언포기버블,영화의  단조로운 스토리를  긴장감있,6
272,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
273,롱 리브 더 킹: 목포 영웅,,10
274,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
275,아수라,찢었다...모든게 찢었다.,10
276,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
277,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
278,비바리움,내가 50년간 봤던 영화중 최악이,9
279,어메이징 스파이더맨,샘스파보다 발전한 볼,10
280,미드소마,문화 차이. 미리 말을 하던,10
281,언포기버블,영화의  단조로운 스토리를  긴장감있,6
282,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
283,롱 리브 더 킹: 목포 영웅,,10
284,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
285,아수라,찢었다...모든게 찢었다.,10
286,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
287,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
288,비바리움,내가 50년간 봤던 영화중 최악이,9
289,어메이징 스파이더맨,샘스파보다 발전한 볼,10
290,미드소마,문화 차이. 미리 말을 하던,10
291,언포기버블,영화의  단조로운 스토리를  긴장감있,6
292,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
293,롱 리브 더 킹: 목포 영웅,,10
294,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
295,아수라,찢었다...모든게 찢었다.,10
296,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
297,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
298,비바리움,내가 50년간 봤던 영화중 최악이,9
299,어메이징 스파이더맨,샘스파보다 발전한 볼,10
300,미드소마,문화 차이. 미리 말을 하던,10
301,언포기버블,영화의  단조로운 스토리를  긴장감있,6
302,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
303,롱 리브 더 킹: 목포 영웅,,10
304,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
305,아수라,찢었다...모든게 찢었다.,10
306,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
307,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
308,비바리움,내가 50년간 봤던 영화중 최악이,9
309,어메이징 스파이더맨,샘스파보다 발전한 볼,10
310,미드소마,문화 차이. 미리 말을 하던,10
311,언포기버블,영화의  단조로운 스토리를  긴장감있,6
312,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
313,롱 리브 더 킹: 목포 영웅,,10
314,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
315,아수라,찢었다...모든게 찢었다.,10
316,고양이 집사,방금 봤는데 너무 감동 깊게 봤습니다! 우리나라도 독일처럼 동물보호법 강화되서 더이상 버려지는 아이들이 없기를.. 길위의 아이들 모두 따듯한 손길에 행복하기를.. 영화처럼 세상 모든사람들이 따듯하고 좋은분들만 계시다면 얼마나 좋을까요? 출연해주신 냥이 챙겨주시는 모든분들 감사합니다! 복 많이 받으시고 행복하세요! 덕분에 참 마음 따듯하게 봤습니다!,8
317,고양이 집사,너무 사랑스런 고양이와 따뜻한 사람들의 이야기를 보며 감동 만,9
318,비바리움,내가 50년간 봤던 영화중 최악이,9
319,어메이징 스파이더맨,샘스파보다 발전한 볼,10
320,미드소마,문화 차이. 미리 말을 하던,10
321,언포기버블,영화의  단조로운 스토리를  긴장감있,6
322,인질,납치범 대가리가 영화 다조지네;; 집중이안되네..,10
323,롱 리브 더 킹: 목포 영웅,,10
324,싱크홀,싱크홀 별로라는 말이 많던데 그래도 제가 좋아하는 장르에 배우분들도 좋아하는 분들이라 꼭 보고 싶던거라 이제 봤네요 근데 진심 너무 웃기고 재밌는데요? 쫄깃하고 슬프고 감동적인 부분도 있고 좋아요 특히 광수님이 진짜 너무 웃겨요 그냥 런닝맨 보는 거 같음ㅋㅋㅋㅋ또 좋아하는 이학주 남다름 김성균님도 나오셔서.. 아 너무 좋게 봤어요 저는ㅎ,10
325,아수라,찢었다...모든게 찢었다.,10
